idade,genero,estado_civil,regiao,renda_mensal,nivel_educacional,perfil_investidor,tempo_experiencia_mercado,valor_total_investido,objetivo_principal,setores_preferenciais,frequencia_operacoes,conhecimento_mercado,usa_analise_tecnica,usa_analise_fundamentalista
29,Outro,Divorciado,Sul,30293.34,Médio,Agressivo,10.2,525935.07,Viagem,Construção Civil,Anual,Alto,Não,Não
48,Outro,Viúvo,Nordeste,17816.98,Pós-graduado,Moderado,23.0,205104.13,Diversificação,Financeiro,Day Trade,Médio,Não,Não
41,Outro,Divorciado,Centro-Oeste,11986.09,Fundamental,Agressivo,15.6,611244.9,Viagem,Energia Elétrica,Day Trade,Alto,Sim,Não
18,Masculino,Divorciado,Norte,5285.92,Superior Completo,Agressivo,7.5,610513.37,Aposentadoria,Saneamento,Ocasional (Buy and Hold),Alto,Não,Não
40,Outro,Solteiro,Nordeste,33048.2,Fundamental,Arrojado,17.8,631563.1,Renda Passiva,Saúde,Day Trade,Médio,Não,Sim
58,Feminino,Solteiro,Norte,30114.71,Fundamental,Moderado,14.5,483836.55,Diversificação,Construção Civil,Mensal,Médio,Sim,Não
53,Masculino,Casado,Nordeste,29336.89,Superior Completo,Agressivo,15.8,738711.37,Compra de Imóvel,Tecnologia,Semanal (Swing Trade),Baixo,Sim,Sim
68,Masculino,Divorciado,Nordeste,9770.13,Médio,Conservador,25.7,659446.42,Viagem,Construção Civil,Ocasional (Buy and Hold),Alto,Sim,Não
32,Masculino,Divorciado,Sudeste,2016.36,Médio,Moderado,15.3,580815.51,Educação dos Filhos,Saneamento,Semanal (Swing Trade),Baixo,Não,Sim
44,Masculino,Solteiro,Sudeste,35193.79,Médio,Agressivo,24.4,874110.77,Viagem,Commodities,Semanal (Swing Trade),Alto,Não,Não
57,Outro,Viúvo,Nordeste,16355.86,Médio,Conservador,4.9,834053.75,Viagem,Varejo,Semanal (Swing Trade),Baixo,Não,Não
30,Outro,Solteiro,Norte,12681.42,Fundamental,Agressivo,10.6,98040.55,Educação dos Filhos,Saúde,Semanal (Swing Trade),Alto,Não,Sim
35,Outro,Viúvo,Sul,37120.73,Superior Incompleto,Moderado,26.1,134306.67,Diversificação,Saúde,Semanal (Swing Trade),Médio,Sim,Sim
51,Feminino,Solteiro,Centro-Oeste,2117.11,Superior Incompleto,Agressivo,22.7,538140.02,Curto Prazo,Tecnologia,Anual,Alto,Sim,Não
28,Masculino,Viúvo,Sul,13976.85,Superior Completo,Moderado,25.2,61353.68,Curto Prazo,Commodities,Ocasional (Buy and Hold),Alto,Sim,Sim
64,Masculino,Viúvo,Norte,15383.49,Médio,Agressivo,24.2,156148.61,Educação dos Filhos,Construção Civil,Mensal,Baixo,Sim,Não
46,Feminino,Casado,Nordeste,8400.6,Superior Completo,Moderado,18.1,660017.09,Aposentadoria,Financeiro,Semanal (Swing Trade),Médio,Não,Não
18,Feminino,Solteiro,Norte,23324.29,Superior Completo,Moderado,23.7,891101.1,Renda Passiva,Saneamento,Ocasional (Buy and Hold),Baixo,Sim,Não
45,Outro,Solteiro,Nordeste,33308.59,Superior Completo,Moderado,16.2,40138.12,Diversificação,Tecnologia,Day Trade,Médio,Não,Não
74,Outro,Casado,Sul,20253.63,Pós-graduado,Moderado,18.6,248949.92,Educação dos Filhos,Energia Elétrica,Mensal,Alto,Sim,Não
72,Masculino,Viúvo,Norte,26053.99,Médio,Moderado,15.7,840612.54,Diversificação,Commodities,Mensal,Médio,Sim,Não
40,Feminino,Viúvo,Sudeste,9064.07,Médio,Moderado,24.0,188147.86,Compra de Imóvel,Commodities,Ocasional (Buy and Hold),Alto,Sim,Sim
34,Masculino,Viúvo,Nordeste,15318.88,Superior Completo,Moderado,23.3,223152.86,Educação dos Filhos,Energia Elétrica,Ocasional (Buy and Hold),Baixo,Não,Não
28,Outro,Casado,Nordeste,9981.72,Pós-graduado,Conservador,8.9,375714.21,Compra de Imóvel,Varejo,Anual,Baixo,Sim,Não
57,Masculino,Casado,Nordeste,6947.13,Pós-graduado,Moderado,10.5,60840.37,Aposentadoria,Energia Elétrica,Semanal (Swing Trade),Médio,Sim,Sim
44,Masculino,Divorciado,Sul,19982.9,Médio,Agressivo,10.0,87409.46,Renda Passiva,Saúde,Day Trade,Médio,Não,Sim
60,Feminino,Solteiro,Norte,12698.88,Fundamental,Conservador,7.8,989032.52,Renda Passiva,Outro,Ocasional (Buy and Hold),Baixo,Sim,Sim
56,Masculino,Solteiro,Norte,21471.9,Médio,Agressivo,17.8,956021.41,Curto Prazo,Saúde,Ocasional (Buy and Hold),Baixo,Não,Sim
45,Feminino,Solteiro,Norte,3508.23,Superior Incompleto,Conservador,3.3,564840.97,Diversificação,Saneamento,Mensal,Médio,Não,Não
59,Feminino,Viúvo,Sul,19991.96,Superior Incompleto,Moderado,3.5,636226.92,Viagem,Saúde,Ocasional (Buy and Hold),Alto,Sim,Sim
28,Feminino,Divorciado,Norte,32393.3,Superior Incompleto,Moderado,18.4,633641.8,Reserva de Emergência,Commodities,Anual,Médio,Sim,Não
54,Feminino,Viúvo,Sul,39597.12,Pós-graduado,Moderado,14.1,978249.47,Educação dos Filhos,Energia Elétrica,Anual,Médio,Não,Sim
45,Masculino,Divorciado,Sudeste,30193.64,Superior Completo,Agressivo,21.7,57104.01,Compra de Imóvel,Financeiro,Mensal,Alto,Não,Não
72,Outro,Solteiro,Centro-Oeste,11106.75,Médio,Moderado,9.5,377375.55,Aposentadoria,Tecnologia,Anual,Médio,Sim,Sim
66,Outro,Solteiro,Sul,39904.46,Superior Completo,Agressivo,12.6,6093.37,Curto Prazo,Saneamento,Mensal,Baixo,Não,Não
43,Outro,Casado,Centro-Oeste,32719.33,Pós-graduado,Agressivo,10.0,915104.05,Viagem,Tecnologia,Semanal (Swing Trade),Baixo,Não,Não
25,Masculino,Casado,Nordeste,36828.97,Pós-graduado,Agressivo,22.4,831247.29,Diversificação,Construção Civil,Ocasional (Buy and Hold),Médio,Não,Sim
56,Outro,Casado,Centro-Oeste,11965.19,Superior Completo,Agressivo,14.1,221655.04,Compra de Imóvel,Financeiro,Day Trade,Alto,Não,Sim
55,Feminino,Divorciado,Nordeste,11784.34,Pós-graduado,Arrojado,16.7,248819.66,Viagem,Construção Civil,Anual,Alto,Sim,Não
18,Masculino,Solteiro,Nordeste,37856.44,Pós-graduado,Moderado,18.1,872090.58,Viagem,Construção Civil,Semanal (Swing Trade),Alto,Sim,Sim
21,Feminino,Casado,Sul,12959.07,Superior Incompleto,Arrojado,1.5,289342.32,Renda Passiva,Saúde,Semanal (Swing Trade),Alto,Sim,Não
56,Feminino,Solteiro,Sul,15144.93,Pós-graduado,Arrojado,4.9,773232.36,Compra de Imóvel,Commodities,Ocasional (Buy and Hold),Alto,Não,Não
24,Feminino,Solteiro,Nordeste,19264.08,Superior Incompleto,Agressivo,6.9,764453.18,Reserva de Emergência,Papel e Celulose,Mensal,Baixo,Sim,Sim
46,Outro,Viúvo,Centro-Oeste,13035.18,Superior Completo,Arrojado,13.4,276175.8,Compra de Imóvel,Financeiro,Anual,Alto,Sim,Sim
42,Masculino,Viúvo,Sul,1823.73,Pós-graduado,Conservador,6.1,690416.23,Renda Passiva,Financeiro,Day Trade,Alto,Não,Não
19,Feminino,Divorciado,Nordeste,34998.12,Médio,Agressivo,4.3,850946.06,Educação dos Filhos,Construção Civil,Anual,Alto,Sim,Não
53,Outro,Divorciado,Sudeste,34629.28,Fundamental,Conservador,20.7,131158.72,Reserva de Emergência,Varejo,Day Trade,Alto,Sim,Sim
62,Outro,Solteiro,Centro-Oeste,22309.28,Superior Incompleto,Arrojado,13.6,468420.72,Reserva de Emergência,Varejo,Semanal (Swing Trade),Alto,Sim,Não
45,Masculino,Casado,Sudeste,35247.55,Pós-graduado,Moderado,21.7,466695.52,Diversificação,Outro,Semanal (Swing Trade),Baixo,Não,Não
50,Feminino,Solteiro,Sul,11168.52,Superior Incompleto,Conservador,15.6,861584.6,Compra de Imóvel,Outro,Anual,Baixo,Não,Não
75,Masculino,Casado,Sul,35374.41,Pós-graduado,Agressivo,13.1,319691.54,Aposentadoria,Papel e Celulose,Mensal,Alto,Não,Não
20,Outro,Divorciado,Sul,38639.55,Superior Incompleto,Moderado,27.9,3958.64,Renda Passiva,Varejo,Day Trade,Médio,Sim,Sim
71,Outro,Viúvo,Centro-Oeste,15122.21,Pós-graduado,Conservador,13.8,398219.89,Reserva de Emergência,Construção Civil,Semanal (Swing Trade),Médio,Sim,Não
42,Feminino,Solteiro,Sudeste,26520.65,Médio,Arrojado,26.9,768983.4,Diversificação,Tecnologia,Mensal,Baixo,Sim,Sim
33,Masculino,Solteiro,Sudeste,3919.02,Superior Completo,Moderado,30.0,315530.34,Curto Prazo,Construção Civil,Ocasional (Buy and Hold),Alto,Não,Sim
40,Masculino,Viúvo,Sudeste,37392.57,Fundamental,Moderado,23.7,650679.01,Compra de Imóvel,Varejo,Ocasional (Buy and Hold),Baixo,Sim,Sim
72,Outro,Solteiro,Sul,13312.88,Superior Incompleto,Moderado,10.1,305724.88,Viagem,Commodities,Anual,Alto,Não,Não
20,Masculino,Divorciado,Sul,24484.63,Pós-graduado,Moderado,26.0,801230.96,Renda Passiva,Tecnologia,Semanal (Swing Trade),Médio,Sim,Sim
30,Masculino,Casado,Centro-Oeste,35404.0,Superior Incompleto,Conservador,8.3,387613.81,Curto Prazo,Saúde,Day Trade,Baixo,Não,Não
60,Feminino,Divorciado,Norte,37824.31,Fundamental,Arrojado,22.9,330630.06,Viagem,Saúde,Mensal,Alto,Sim,Não
26,Feminino,Divorciado,Sul,35856.3,Pós-graduado,Conservador,18.8,929195.86,Aposentadoria,Energia Elétrica,Ocasional (Buy and Hold),Baixo,Não,Sim
25,Masculino,Solteiro,Norte,36617.18,Médio,Conservador,19.9,509045.83,Educação dos Filhos,Tecnologia,Semanal (Swing Trade),Médio,Não,Sim
73,Masculino,Solteiro,Sudeste,20661.55,Superior Completo,Moderado,18.4,670744.05,Reserva de Emergência,Varejo,Anual,Alto,Não,Não
43,Masculino,Solteiro,Sudeste,9223.25,Médio,Agressivo,4.3,273359.09,Reserva de Emergência,Energia Elétrica,Day Trade,Baixo,Sim,Sim
26,Feminino,Divorciado,Nordeste,15153.91,Médio,Agressivo,29.8,722882.54,Curto Prazo,Tecnologia,Mensal,Alto,Sim,Sim
63,Masculino,Divorciado,Sudeste,4885.94,Fundamental,Conservador,28.6,441198.18,Educação dos Filhos,Saneamento,Anual,Alto,Não,Não
45,Outro,Divorciado,Nordeste,27513.56,Pós-graduado,Agressivo,13.1,193345.1,Diversificação,Tecnologia,Day Trade,Alto,Não,Não
19,Feminino,Viúvo,Norte,14297.35,Superior Incompleto,Arrojado,11.7,31471.45,Aposentadoria,Construção Civil,Ocasional (Buy and Hold),Médio,Sim,Sim
21,Feminino,Solteiro,Nordeste,24894.43,Superior Incompleto,Arrojado,17.6,962760.06,Viagem,Papel e Celulose,Mensal,Baixo,Sim,Sim
20,Masculino,Casado,Nordeste,14118.39,Pós-graduado,Agressivo,26.1,187798.42,Compra de Imóvel,Papel e Celulose,Ocasional (Buy and Hold),Baixo,Não,Não
49,Masculino,Solteiro,Norte,28169.71,Superior Incompleto,Arrojado,24.5,180325.91,Diversificação,Energia Elétrica,Day Trade,Baixo,Sim,Não
52,Outro,Divorciado,Norte,16542.63,Fundamental,Moderado,12.9,626119.01,Diversificação,Financeiro,Mensal,Médio,Não,Não
70,Masculino,Casado,Nordeste,29888.95,Pós-graduado,Agressivo,27.7,446724.39,Diversificação,Outro,Anual,Médio,Não,Sim
31,Outro,Casado,Sudeste,27480.11,Superior Incompleto,Arrojado,7.0,956398.42,Educação dos Filhos,Saúde,Mensal,Alto,Não,Sim
41,Feminino,Viúvo,Sul,23594.81,Superior Incompleto,Moderado,3.7,967690.5,Curto Prazo,Saneamento,Ocasional (Buy and Hold),Alto,Sim,Sim
64,Masculino,Divorciado,Norte,9197.46,Superior Incompleto,Arrojado,17.9,163186.58,Diversificação,Papel e Celulose,Day Trade,Baixo,Não,Não
62,Masculino,Casado,Sul,30420.59,Fundamental,Agressivo,22.0,539500.89,Viagem,Construção Civil,Day Trade,Médio,Não,Não
48,Feminino,Divorciado,Centro-Oeste,30556.55,Médio,Conservador,17.5,600710.56,Curto Prazo,Papel e Celulose,Semanal (Swing Trade),Baixo,Não,Não
23,Outro,Solteiro,Sudeste,32940.58,Superior Completo,Conservador,27.2,61969.93,Reserva de Emergência,Varejo,Mensal,Médio,Não,Sim
30,Feminino,Viúvo,Nordeste,21717.47,Pós-graduado,Agressivo,16.7,466594.38,Reserva de Emergência,Commodities,Day Trade,Médio,Sim,Não
51,Feminino,Solteiro,Nordeste,4669.13,Médio,Conservador,0.5,615953.85,Reserva de Emergência,Outro,Day Trade,Alto,Sim,Não
70,Outro,Divorciado,Nordeste,37432.92,Pós-graduado,Conservador,4.2,419379.53,Renda Passiva,Commodities,Anual,Alto,Sim,Não
46,Masculino,Casado,Nordeste,26875.02,Pós-graduado,Moderado,11.1,604472.47,Viagem,Saneamento,Day Trade,Alto,Não,Não
19,Masculino,Viúvo,Nordeste,17728.15,Pós-graduado,Moderado,9.6,715377.41,Compra de Imóvel,Saneamento,Day Trade,Baixo,Não,Sim
44,Outro,Casado,Norte,35239.89,Médio,Arrojado,11.1,425757.78,Diversificação,Papel e Celulose,Semanal (Swing Trade),Alto,Não,Não
37,Masculino,Viúvo,Centro-Oeste,25431.77,Superior Completo,Agressivo,20.8,384584.13,Reserva de Emergência,Tecnologia,Anual,Médio,Sim,Sim
20,Feminino,Casado,Centro-Oeste,39641.4,Superior Incompleto,Moderado,28.6,327001.58,Aposentadoria,Commodities,Day Trade,Alto,Não,Sim
51,Outro,Divorciado,Centro-Oeste,5147.63,Superior Completo,Moderado,21.7,471883.74,Compra de Imóvel,Varejo,Mensal,Baixo,Não,Sim
69,Feminino,Solteiro,Sudeste,17750.57,Superior Incompleto,Arrojado,20.7,90646.53,Reserva de Emergência,Papel e Celulose,Anual,Alto,Não,Não
60,Masculino,Divorciado,Sul,2988.65,Superior Incompleto,Agressivo,5.6,858184.98,Educação dos Filhos,Outro,Semanal (Swing Trade),Baixo,Sim,Sim
73,Feminino,Divorciado,Norte,11753.1,Superior Completo,Agressivo,7.4,513771.24,Aposentadoria,Saneamento,Day Trade,Baixo,Sim,Sim
28,Masculino,Solteiro,Centro-Oeste,2436.53,Pós-graduado,Conservador,18.9,8371.3,Diversificação,Saneamento,Anual,Médio,Não,Sim
47,Masculino,Viúvo,Centro-Oeste,18056.93,Médio,Conservador,25.2,797238.85,Educação dos Filhos,Papel e Celulose,Semanal (Swing Trade),Alto,Sim,Sim
71,Feminino,Viúvo,Centro-Oeste,39945.9,Pós-graduado,Arrojado,22.3,947369.86,Renda Passiva,Varejo,Semanal (Swing Trade),Médio,Sim,Não
27,Feminino,Viúvo,Norte,21053.53,Médio,Moderado,1.4,49136.5,Diversificação,Construção Civil,Mensal,Alto,Não,Sim
71,Feminino,Casado,Sudeste,35633.4,Superior Completo,Agressivo,14.2,866414.85,Renda Passiva,Saúde,Semanal (Swing Trade),Baixo,Não,Não
65,Masculino,Casado,Norte,4941.02,Médio,Agressivo,11.3,701838.72,Educação dos Filhos,Saúde,Anual,Baixo,Não,Não
40,Masculino,Solteiro,Norte,23539.01,Médio,Moderado,24.6,731953.47,Compra de Imóvel,Construção Civil,Day Trade,Médio,Não,Sim
31,Feminino,Casado,Nordeste,24092.87,Fundamental,Moderado,12.7,849520.47,Educação dos Filhos,Saneamento,Semanal (Swing Trade),Baixo,Não,Não
44,Masculino,Viúvo,Norte,23222.86,Médio,Agressivo,8.6,673845.4,Viagem,Commodities,Ocasional (Buy and Hold),Médio,Não,Sim
68,Feminino,Divorciado,Sudeste,23330.37,Médio,Moderado,3.9,425500.23,Viagem,Saneamento,Anual,Alto,Não,Não
51,Outro,Divorciado,Sudeste,24106.98,Superior Completo,Agressivo,11.8,733392.84,Compra de Imóvel,Saúde,Ocasional (Buy and Hold),Baixo,Não,Sim
63,Outro,Solteiro,Norte,21501.96,Fundamental,Moderado,7.9,631784.24,Viagem,Energia Elétrica,Semanal (Swing Trade),Alto,Sim,Sim
29,Feminino,Solteiro,Sudeste,15361.02,Fundamental,Moderado,8.3,309451.38,Educação dos Filhos,Papel e Celulose,Ocasional (Buy and Hold),Baixo,Não,Não
73,Masculino,Solteiro,Centro-Oeste,36066.0,Pós-graduado,Moderado,21.5,759176.66,Viagem,Outro,Day Trade,Médio,Não,Sim
50,Feminino,Solteiro,Norte,5935.04,Pós-graduado,Moderado,4.5,821916.69,Aposentadoria,Saneamento,Ocasional (Buy and Hold),Baixo,Sim,Não
66,Outro,Divorciado,Nordeste,25503.67,Superior Completo,Conservador,1.2,709881.92,Viagem,Energia Elétrica,Ocasional (Buy and Hold),Baixo,Sim,Não
56,Masculino,Divorciado,Norte,36139.76,Pós-graduado,Arrojado,28.4,229225.48,Educação dos Filhos,Outro,Mensal,Baixo,Sim,Não
38,Masculino,Divorciado,Norte,9743.5,Pós-graduado,Agressivo,29.3,591352.33,Viagem,Financeiro,Anual,Baixo,Sim,Sim
54,Outro,Divorciado,Centro-Oeste,34249.22,Médio,Moderado,8.2,546508.93,Educação dos Filhos,Tecnologia,Mensal,Alto,Sim,Não
47,Outro,Casado,Sudeste,33164.96,Superior Completo,Moderado,16.4,783053.82,Renda Passiva,Saúde,Anual,Alto,Não,Não
50,Masculino,Viúvo,Centro-Oeste,30795.06,Superior Completo,Arrojado,1.4,905387.98,Viagem,Outro,Ocasional (Buy and Hold),Alto,Sim,Não
59,Outro,Casado,Centro-Oeste,39837.8,Superior Completo,Agressivo,19.6,729483.84,Educação dos Filhos,Outro,Mensal,Baixo,Sim,Sim
32,Masculino,Divorciado,Centro-Oeste,36678.02,Superior Completo,Conservador,8.5,929658.43,Diversificação,Energia Elétrica,Semanal (Swing Trade),Baixo,Não,Não
49,Outro,Divorciado,Sudeste,31967.75,Superior Completo,Arrojado,26.6,501816.91,Compra de Imóvel,Commodities,Mensal,Médio,Sim,Sim
21,Feminino,Casado,Nordeste,8787.47,Médio,Arrojado,18.1,308584.52,Aposentadoria,Energia Elétrica,Day Trade,Alto,Não,Não
74,Feminino,Solteiro,Centro-Oeste,30746.65,Superior Incompleto,Conservador,0.7,519042.8,Viagem,Energia Elétrica,Mensal,Alto,Não,Sim
55,Outro,Viúvo,Nordeste,21474.21,Superior Incompleto,Moderado,3.5,571719.62,Compra de Imóvel,Papel e Celulose,Ocasional (Buy and Hold),Médio,Sim,Sim
45,Outro,Viúvo,Sul,25210.21,Superior Completo,Moderado,19.7,431516.23,Curto Prazo,Financeiro,Anual,Médio,Sim,Sim
40,Masculino,Casado,Norte,30935.47,Pós-graduado,Arrojado,9.3,179680.93,Renda Passiva,Financeiro,Ocasional (Buy and Hold),Alto,Sim,Sim
74,Feminino,Casado,Norte,5730.35,Fundamental,Moderado,25.9,130188.44,Reserva de Emergência,Varejo,Ocasional (Buy and Hold),Baixo,Sim,Não
43,Feminino,Solteiro,Nordeste,23814.45,Fundamental,Arrojado,8.9,248599.98,Viagem,Energia Elétrica,Mensal,Baixo,Não,Não
28,Masculino,Divorciado,Centro-Oeste,14919.83,Fundamental,Conservador,20.8,259429.85,Renda Passiva,Saneamento,Day Trade,Médio,Não,Sim
28,Masculino,Solteiro,Centro-Oeste,2932.29,Médio,Moderado,28.4,235577.22,Reserva de Emergência,Saúde,Ocasional (Buy and Hold),Alto,Não,Sim
62,Masculino,Solteiro,Nordeste,39167.22,Fundamental,Arrojado,23.2,708747.29,Viagem,Construção Civil,Mensal,Médio,Não,Sim
74,Feminino,Solteiro,Sul,7173.44,Pós-graduado,Moderado,18.4,515408.57,Reserva de Emergência,Financeiro,Anual,Médio,Sim,Não
41,Outro,Solteiro,Nordeste,34665.17,Superior Incompleto,Conservador,9.7,817671.58,Renda Passiva,Saúde,Mensal,Alto,Não,Não
26,Outro,Divorciado,Centro-Oeste,19403.29,Fundamental,Moderado,6.7,421148.16,Reserva de Emergência,Varejo,Ocasional (Buy and Hold),Alto,Sim,Não
36,Outro,Divorciado,Centro-Oeste,10545.94,Superior Incompleto,Conservador,2.9,344276.8,Compra de Imóvel,Outro,Ocasional (Buy and Hold),Alto,Sim,Sim
55,Masculino,Casado,Nordeste,19176.81,Superior Incompleto,Conservador,20.7,660980.36,Aposentadoria,Varejo,Ocasional (Buy and Hold),Baixo,Sim,Sim
61,Outro,Solteiro,Centro-Oeste,11104.11,Pós-graduado,Agressivo,11.5,980406.85,Diversificação,Outro,Mensal,Alto,Não,Não
39,Outro,Viúvo,Norte,18068.0,Superior Incompleto,Agressivo,19.7,598753.17,Reserva de Emergência,Outro,Semanal (Swing Trade),Baixo,Não,Sim
71,Outro,Solteiro,Norte,38415.34,Superior Incompleto,Arrojado,8.5,496663.32,Curto Prazo,Financeiro,Mensal,Alto,Sim,Não
29,Feminino,Solteiro,Sudeste,35154.32,Médio,Conservador,16.9,167021.6,Compra de Imóvel,Varejo,Mensal,Médio,Sim,Sim
21,Feminino,Divorciado,Norte,3669.07,Superior Incompleto,Conservador,26.6,800808.79,Renda Passiva,Papel e Celulose,Anual,Médio,Sim,Não
62,Feminino,Divorciado,Norte,11069.9,Pós-graduado,Conservador,16.0,737983.67,Aposentadoria,Papel e Celulose,Anual,Baixo,Sim,Não
74,Masculino,Divorciado,Sul,20963.49,Superior Incompleto,Arrojado,29.3,36015.43,Compra de Imóvel,Outro,Day Trade,Alto,Sim,Não
45,Outro,Casado,Centro-Oeste,22640.82,Médio,Agressivo,16.2,803985.28,Viagem,Outro,Ocasional (Buy and Hold),Médio,Não,Sim
43,Masculino,Casado,Norte,13230.19,Médio,Agressivo,20.1,703247.39,Viagem,Commodities,Day Trade,Baixo,Não,Não
55,Feminino,Solteiro,Norte,24884.45,Pós-graduado,Conservador,27.9,5725.87,Viagem,Saneamento,Anual,Médio,Sim,Sim
26,Masculino,Casado,Norte,2687.55,Superior Completo,Agressivo,17.1,193380.93,Educação dos Filhos,Saúde,Anual,Médio,Sim,Não
53,Masculino,Divorciado,Sudeste,7073.81,Pós-graduado,Conservador,5.0,45977.22,Compra de Imóvel,Tecnologia,Day Trade,Alto,Sim,Sim
25,Feminino,Divorciado,Norte,16583.88,Superior Completo,Conservador,11.9,537100.57,Educação dos Filhos,Energia Elétrica,Mensal,Baixo,Sim,Sim
21,Outro,Divorciado,Norte,33493.57,Superior Completo,Agressivo,29.5,385293.11,Viagem,Saúde,Day Trade,Alto,Sim,Não
29,Masculino,Solteiro,Centro-Oeste,29436.5,Médio,Conservador,13.9,536605.51,Curto Prazo,Saúde,Ocasional (Buy and Hold),Médio,Sim,Sim
20,Outro,Divorciado,Centro-Oeste,22620.13,Fundamental,Agressivo,24.9,265781.87,Viagem,Saúde,Semanal (Swing Trade),Médio,Sim,Sim
42,Feminino,Viúvo,Nordeste,23774.56,Superior Incompleto,Moderado,12.8,620880.64,Aposentadoria,Saúde,Ocasional (Buy and Hold),Baixo,Não,Não
31,Feminino,Solteiro,Sul,11802.77,Superior Completo,Moderado,16.3,877626.09,Curto Prazo,Tecnologia,Mensal,Médio,Sim,Não
57,Masculino,Solteiro,Norte,24259.14,Médio,Moderado,16.3,82628.3,Reserva de Emergência,Commodities,Mensal,Baixo,Sim,Sim
43,Outro,Solteiro,Sul,4073.37,Superior Incompleto,Agressivo,24.2,811945.23,Educação dos Filhos,Construção Civil,Mensal,Alto,Sim,Sim
63,Outro,Viúvo,Nordeste,26865.08,Superior Incompleto,Arrojado,11.8,846946.97,Educação dos Filhos,Saúde,Semanal (Swing Trade),Médio,Não,Não
54,Outro,Casado,Norte,12893.85,Superior Incompleto,Arrojado,5.9,805250.65,Renda Passiva,Varejo,Day Trade,Médio,Não,Sim
52,Outro,Solteiro,Norte,13554.98,Superior Completo,Conservador,12.8,632109.29,Curto Prazo,Commodities,Anual,Baixo,Sim,Não
64,Feminino,Casado,Norte,13081.13,Médio,Conservador,3.4,742299.4,Renda Passiva,Saúde,Day Trade,Baixo,Não,Sim
20,Outro,Viúvo,Sudeste,37692.55,Superior Incompleto,Agressivo,30.0,20253.87,Educação dos Filhos,Commodities,Semanal (Swing Trade),Baixo,Não,Sim
66,Feminino,Divorciado,Sul,18848.93,Superior Completo,Arrojado,7.5,597995.25,Aposentadoria,Tecnologia,Ocasional (Buy and Hold),Baixo,Não,Não
20,Masculino,Viúvo,Sudeste,33491.39,Médio,Agressivo,5.9,634045.95,Compra de Imóvel,Financeiro,Ocasional (Buy and Hold),Médio,Não,Não
48,Feminino,Viúvo,Sudeste,31207.54,Superior Incompleto,Conservador,7.6,159593.79,Aposentadoria,Commodities,Mensal,Alto,Não,Não
43,Feminino,Solteiro,Norte,8896.88,Pós-graduado,Arrojado,4.3,257048.19,Educação dos Filhos,Outro,Anual,Médio,Não,Não
27,Feminino,Divorciado,Sudeste,14387.38,Superior Completo,Conservador,6.1,424959.83,Diversificação,Saúde,Day Trade,Baixo,Não,Sim
44,Feminino,Viúvo,Norte,38392.28,Pós-graduado,Agressivo,24.0,714735.34,Compra de Imóvel,Construção Civil,Ocasional (Buy and Hold),Baixo,Sim,Sim
63,Feminino,Divorciado,Nordeste,17378.72,Superior Completo,Agressivo,10.4,614822.68,Diversificação,Varejo,Mensal,Baixo,Não,Sim
71,Masculino,Viúvo,Sul,15527.41,Superior Completo,Agressivo,8.8,573286.25,Renda Passiva,Energia Elétrica,Semanal (Swing Trade),Alto,Não,Não
